Id,Name,aforza__Account__c,aforza__Attribute__c,aforza__Product__c,aforza__Value__c,aforza__Account__r.Name,aforza__Attribute__r.aforza__Code__c,aforza__Product__r.StockKeepingUnit
a0A2z000000B0i2EAC,AAS-00001027,0012z00000CGJzNAAX,a0C2z000000B59OEAS,,England,HIVES NEWS,AA-0010,
a0A2z000000B0i3EAC,AAS-00001028,0012z00000CGJzOAAX,a0C2z000000B59OEAS,,England,NEWS FOOD AND BOOZE,AA-0010,
a0A2z000000B0i4EAC,AAS-00001029,0012z00000CGJzPAAX,a0C2z000000B59OEAS,,England,CHAPEL NEWS,AA-0010,
a0A2z000000B0i5EAC,AAS-00001030,0012z00000CGJzQAAX,a0C2z000000B59OEAS,,England,HART ST NEWS,AA-0010,
a0A2z000000B0i6EAC,AAS-00001031,0012z00000CGJzRAAX,a0C2z000000B59OEAS,,England,MRS JONES - SQUARE LANE POST OFFICE,AA-0010,
a0A2z000000B0i7EAC,AAS-00001032,0012z00000CGJzSAAX,a0C2z000000B59OEAS,,England,SHOPPERS,AA-0010,
a0A2z000000B0i8EAC,AAS-00001033,0012z00000CGJzTAAX,a0C2z000000B59OEAS,,England,BON APPETIT,AA-0010,
a0A2z000000B0i9EAC,AAS-00001034,0012z00000CGJzUAAX,a0C2z000000B59OEAS,,England,SHOHAB GROCERS,AA-0010,
a0A2z000000B0iAEAS,AAS-00001035,0012z00000CGJzVAAX,a0C2z000000B59OEAS,,England,AHMNED STORES,AA-0010,
a0A2z000000B0iBEAS,AAS-00001036,0012z00000CGJzWAAX,a0C2z000000B59OEAS,,England,QUIX STORES,AA-0010,
a0A2z000000B0iCEAS,AAS-00001037,0012z00000CGJzXAAX,a0C2z000000B59OEAS,,England,SMITH BAKERS & CONFECTIONERS LIMITED,AA-0010,
a0A2z000000B0iDEAS,AAS-00001038,0012z00000CGJzYAAX,a0C2z000000B59OEAS,,England,ANSON ROCHE,AA-0010,
a0A2z000000B0iEEAS,AAS-00001039,0012z00000CGJzZAAX,a0C2z000000B59OEAS,,England,WHITE HALL NEWS,AA-0010,
a0A2z000000B0iFEAS,AAS-00001040,0012z00000CGJzaAAH,a0C2z000000B59OEAS,,England,ADAMS OFF LICENCE,AA-0010,
a0A2z000000B0iGEAS,AAS-00001041,0012z00000CGK8uAAH,a0C2z000000B59OEAS,,England,GOTTS PARK STORES,AA-0010,
a0A2z000000B0iHEAS,AAS-00001042,0012z00000CGK8vAAH,a0C2z000000B59OEAS,,England,PATELS MINI MARKET - AABP LTD,AA-0010,
a0A2z000000B0iIEAS,AAS-00001043,0012z00000CGK8wAAH,a0C2z000000B59OEAS,,England,WESTERN GENERAL,AA-0010,
a0A2z000000B0iJEAS,AAS-00001044,0012z00000CGK8xAAH,a0C2z000000B59OEAS,,England,WRENBECK NEWS,AA-0010,
a0A2z000000B0iKEAS,AAS-00001045,0012z00000CGK8yAAH,a0C2z000000B59OEAS,,England,COTTAGE STORES,AA-0010,
a0A2z000000B0iLEAS,AAS-00001046,0012z00000CGK8zAAH,a0C2z000000B59OEAS,,England,DYSON CORNER STORES,AA-0010,
a0A2z000000B0iMEAS,AAS-00001047,0012z00000CGK90AAH,a0C2z000000B59OEAS,,England,MOORE'S NEWSAGENTS,AA-0010,
a0A2z000000B0iNEAS,AAS-00001048,0012z00000CGK91AAH,a0C2z000000B59OEAS,,England,QUEEN STREET STORES,AA-0010,
a0A2z000000B0iOEAS,AAS-00001049,0012z00000CGK92AAH,a0C2z000000B59OEAS,,England,KEEP IN TOUCH NEWS,AA-0010,
a0A2z000000B0iPEAS,AAS-00001050,0012z00000CGK93AAH,a0C2z000000B59OEAS,,England,HOME BAKERY,AA-0010,
a0A2z000000B0iQEAS,AAS-00001051,0012z00000CGK94AAH,a0C2z000000B59OEAS,,England,HIGHTOWN CONVENIENCE STORE,AA-0010,
a0A2z000000B0iREAS,AAS-00001052,0012z00000CGK95AAH,a0C2z000000B59OEAS,,England,QUEENS PARK CONVENIENCE STORE,AA-0010,
a0A2z000000B0Y8EAK,AAS-00000413,0012z00000BytMLAAZ,a0C2z000000B59OEAS,,England,BURROWS NEWSAGENTS,AA-0010,
a0A2z000000B0Y9EAK,AAS-00000414,0012z00000BytMMAAZ,a0C2z000000B59OEAS,,England,COOPER LANE FISH/CHIPS,AA-0010,
a0A2z000000B0YAEA0,AAS-00000415,0012z00000BytMNAAZ,a0C2z000000B59OEAS,,England,GO LOCAL ROMFORD,AA-0010,
a0A2z000000B0YBEA0,AAS-00000416,0012z00000BytMOAAZ,a0C2z000000B59OEAS,,England,J B HALAL SUPERSTORE,AA-0010,
a0A2z000000B0YCEA0,AAS-00000417,0012z00000BytMPAAZ,a0C2z000000B59OEAS,,England,ONE STOP,AA-0010,
a0A2z000000B0YDEA0,AAS-00000418,0012z00000BytMRAAZ,a0C2z000000B59OEAS,,England,FISSONS STORES,AA-0010,
a0A2z000000B0YEEA0,AAS-00000419,0012z00000BytMSAAZ,a0C2z000000B59OEAS,,England,ASGHAR & SONS SUPERMARKET LTD,AA-0010,
a0A2z000000B0YFEA0,AAS-00000420,0012z00000BytMTAAZ,a0C2z000000B59OEAS,,England,BASILDON GREEN CONVENIENCE STORE,AA-0010,
a0A2z000000B0YGEA0,AAS-00000421,0012z00000BytMUAAZ,a0C2z000000B59OEAS,,England,M&S CONVENIENCE SHOP LTD,AA-0010,
a0A2z000000B0YHEA0,AAS-00000422,0012z00000BytMVAAZ,a0C2z000000B59OEAS,,England,NABIL'S CONVENIENCE STORE,AA-0010,
